name,entries/usernames,entries/emails,breach_date
Rzd-bonus.ru,0,266202,2020-11-00
HTCMania.com,0,1039083,2020-01-00
BattleRoyaleForums.com,28997,30042,0000-00-00
Glofox.com,0,1427898,2020-11-00
Konkurent.ru,0,1451,2020-11-00
Redmart.lazada.sg,0,885750,2020-11-00
Eatigo.com,0,932726,2020-11-00
AnimalJam.com,14555039,1251355,2020-10-00
123RF.com,7528880,7691590,2020-03-00
Newmeet.com,0,1078441,2017-00-00
Shopback.com,0,5268197,2020-05-00
Eskimi.com,21651527,1084450,2020-09-25
Famm.us,0,946850,2020-10-00
Geniusu.com,0,15875,2020-03-00
Peatix.com,0,764194,2019-01-00
IIMjobs.com,0,1300214,2020-11-00
Cit0day,0,79394473,0000-00-00
MemoryBreak.com,33807,37948,2020-11-14
Pluto.tv,0,3378910,2018-10-00
TheMafiaBoss.com,14546,16410,2019-09-25
Anijan.com,1300262,1390898,0000-00-00
Forums.vkmonline.com,344321,558923,2020-12-00
JoyGames.me,2589270,2730359,2020-12-11
Gsmhosting.com,1707752,1901957,2016-00-00
Ledger.com,0,1074419,2020-06-00
Universarium.ru,0,564957,2019-11-00
Bbgpoint.com,0,33177,2020-12-00
Bankir.ru,21447,26557,0000-00-00
Havenly.com (2021),0,494045,2021-00-00
Searchengines.ru,67278,73291,2016-00-00
Photolamus.com,0,11413,2020-12-06
lolzteam.net,0,398047,2019-03-00
Rubukkit.org,0,98342,2017-00-00
Bookmate.com,0,3825743,2018-07-08
Pixlr.com,0,1905998,2020-03-00
Bonobos.com,0,158965,2020-00-00
Wongnai.com,0,799782,2020-00-00
