leakname,entries,source
Nulled.io,598946,dataviper.io
gamesnord.com,595920,dataviper.io
ns-catalog.ru,592623,dataviper.io
www.newreleasetoday.com,591840,dataviper.io
fingergame.me (01-2020),588836,dataviper.io
Coachella,588591,dataviper.io
CoinBulb.com,587241,dataviper.io
www.afaqsreporter.com,587201,dataviper.io
btc OnlyUnique,586516,dataviper.io
hookers.nl,583503,dataviper.io
BtcTalk.org,577413,dataviper.io
Coinmama.com,576317,dataviper.io
elitemeeting.com,569572,dataviper.io
Universarium 568K,568723,dataviper.io
startender.ru,568649,dataviper.io
printi.com.br,565690,dataviper.io
forums.xkcd.com,562121,dataviper.io
faucethub.io,558107,dataviper.io
www.uptrax.de,557325,dataviper.io
forum.elqumma.com,555566,dataviper.io
Coubic.com,554806,dataviper.io
www.icollectmedia.com,549880,dataviper.io
BattlefieldHeroesBeta,548773,dataviper.io
im286.netforum,547550,dataviper.io
texas.bizhwy.com,546350,dataviper.io
budvarealestate.com,543618,dataviper.io
innogames,542251,dataviper.io
smartsoft.kiev.ua,537948,dataviper.io
CMS,537831,dataviper.io
shop98.ru,537137,dataviper.io
TotalWar Forum,537045,dataviper.io
MerlinsMagicBitcoins.com,536105,dataviper.io
Dating.de,535050,dataviper.io
Linux110.com,533454,dataviper.io
Stickam.com,531306,dataviper.io
moneyman.org,531134,dataviper.io
UnrealEngine.com (Aug 2016),530588,dataviper.io
UnrealEngine.com,528794,dataviper.io
chessmatec.com, 526720,dataviper.io
lupaworld com 2016-11,523926,dataviper.io
blinddate.com january,522454,dataviper.io
CrownBingo.com,518049,dataviper.io
www.paramond.it,515627,dataviper.io
Forums.FoxITSoftware.com (Oct 2015),514049,dataviper.io
anywhere.xxx,512972,dataviper.io
vBulletin.com (Oct 2015),512905,dataviper.io
www.newseasims.com,511556,dataviper.io
recordrentacar.com booking,510571,dataviper.io
Wiziwig.eu (Apr 2013),509190,dataviper.io
bamatcherem,509136,dataviper.io
bamatcher,509095,dataviper.io
www.itotal.ru,508489,dataviper.io
zunal.com 2019.11.18,507476,dataviper.io
forums.mypirata.me (12-2019),503651,dataviper.io
vodaphone,502776,dataviper.io
ueber18.de,500924,dataviper.io
introversion.co.uk forum,499374,dataviper.io
bitrewards,496545,dataviper.io
TheWarInc.com (Jul 2014),496057,dataviper.io
Gloria-Jeans.ru (Sep 2016),495066,dataviper.io
www.scitechnol.com,493379,dataviper.io
Washington DC Voters (2018),493217,dataviper.io
cooey technologies,492033,dataviper.io
ovh_kimsufi,489844,dataviper.io
www.trackmill.com,485996,dataviper.io
www.switchmydebt.com,485522,dataviper.io
VIPDiablo.com (Mar 2016),484916,dataviper.io
www.uniondeexportadores.com,484840,dataviper.io
masmusculo.com,484202,dataviper.io
thezyx.com,481414,dataviper.io
ALLSHAN,480800,dataviper.io
moko.cc,479998,dataviper.io
ppcgeeks,479814,dataviper.io
kerygmafamily.com,474737,dataviper.io
recordrentacar.com,473631,dataviper.io
www.gl3a.com,473126,dataviper.io
www.mrpiracy.gq,471963,dataviper.io
CrackingForum,469532,dataviper.io
Forum.ITSecTeam.com (Up-King.com),468860,dataviper.io
www.larevuedupraticien.fr,466672,dataviper.io
idcloginlogs (12-2019),466415,dataviper.io
contents.innolife.net,465380,dataviper.io
capitalgames,460492,dataviper.io
forum.marksdailyapple.com,460203,dataviper.io
459666Spanishcombo,459651,dataviper.io
buxp.org,458144,dataviper.io
Xbox-Scene.com (Dec 2015),457597,dataviper.io
freebdsmstories.org,457468,dataviper.io
intellego.fr,456794,dataviper.io
stripcreator.com november2019 md5,456177,dataviper.io
Forex-Investor.net,455128,dataviper.io
RedBullSoundSelect,454866,dataviper.io
Edaboard.com,453869,dataviper.io
showme.com, 453601,dataviper.io
pk.ipobar.com,452873,dataviper.io
WiiUISO.com,452465,dataviper.io
joygameapps (01-2020),452367,dataviper.io
dashforum2016.sql,451016,dataviper.io
dash.org forum user 05 21 2016,450933,dataviper.io
AndroidForums,450510,dataviper.io
mystudiyo.com,448625,dataviper.io
hitfinex exchange,447756,dataviper.io
DashHacks.com_Forum,443248,dataviper.io
hitfinex,442940,dataviper.io
Conceptainc.com (Sep 2016),441912,dataviper.io
ConceptArt.org (Oct 2015),441911,dataviper.io
BitcoinTalk.org,441366,dataviper.io
www.hfljn.com,439816,dataviper.io
mergecol12HM,439127,dataviper.io
humblebundle.com,438908,dataviper.io
Evermotion.orgMay2015,438117,dataviper.io
acne.org,435249,dataviper.io
Mechodownload.com (Oct 2013),435245,dataviper.io
forums.shell-livewire.com,431574,dataviper.io
thmmotorcycles.com.ph,427764,dataviper.io
www.gamershell.com,427573,dataviper.io
Pesfan.com (May 2016),427500,dataviper.io
Solomid.net,427360,dataviper.io
hmps.in,427044,dataviper.io
RSBoards,423992,dataviper.io
Avast,422986,dataviper.io
shop.hunterowners.com,422113,dataviper.io
Libero.it,418716,dataviper.io
www.pif-paf.ru,416451,dataviper.io
travel2.innolife.net,415998,dataviper.io
bondagestory.biz,415100,dataviper.io
vBulletin.com,411855,dataviper.io
mangatraders,409271,dataviper.io
www.theaerodrome.com,408946,dataviper.io
bloodbanker.com,407951,dataviper.io
planetminecraft.com,403414,dataviper.io
Nethues.com (Jun 2016),401163,dataviper.io
paragon-servers.com (08),400043,dataviper.io
HostingerHacked,399542,dataviper.io
GamesCampus.com (Feb 2013),399444,dataviper.io
Lolzteam.net users (02-19),398176,dataviper.io
PowerBot.org (Sep 2014),392089,dataviper.io
