Database Name,Database DL Link,Database URL Source,Captcha,Direct
http://daawa-info.net,http://siph0n.net/exploits.php?id=4790,http://siph0n.net/leaks.php?page=2,,
http://dane.gov.co,http://siph0n.net/exploits.php?id=3609,http://siph0n.net/leaks.php?page=12,,
http://dc.gov - Emails,http://siph0n.net/exploits.php?id=3805,http://siph0n.net/leaks.php?page=11,,
http://ddos-city.fr,http://siph0n.net/exploits.php?id=3818,http://siph0n.net/leaks.php?page=11,,
http://deathstresser.com,http://siph0n.net/exploits.php?id=4567,http://siph0n.net/leaks.php?page=4,,
http://demain-jarrete.com,http://siph0n.net/exploits.php?id=4647,http://siph0n.net/leaks.php?page=4,,
http://designdeck.co.uk,http://siph0n.net/exploits.php?id=4751,http://siph0n.net/leaks.php?page=3,,
http://destroybooter.com,http://siph0n.net/exploits.php?id=4335,http://siph0n.net/leaks.php?page=7,,
http://directory.nzcca.org.nz,http://siph0n.net/exploits.php?id=4145,http://siph0n.net/leaks.php?page=8,,
http://dockstreetbrokers.com,http://siph0n.net/exploits.php?id=4447,http://siph0n.net/leaks.php?page=6,,
http://doorcenter.co.il,http://siph0n.net/exploits.php?id=3650,http://siph0n.net/leaks.php?page=12,,
http://doorcenter.co.il,http://siph0n.net/exploits.php?id=3664,http://siph0n.net/leaks.php?page=12,,
http://duelyst.com/,http://siph0n.net/exploits.php?id=4522,http://siph0n.net/leaks.php?page=5,,
http://dukcapil.go.id,http://siph0n.net/exploits.php?id=4373,http://siph0n.net/leaks.php?page=6,,
http://dunnikierhousehotel.co.uk,http://siph0n.net/exploits.php?id=3730,http://siph0n.net/leaks.php?page=11,,
http://dustgame.com,http://siph0n.net/exploits.php?id=4989,http://siph0n.net/leaks.php,,
http://dutchwow.com,http://siph0n.net/exploits.php?id=4088,http://siph0n.net/leaks.php?page=9,,
http://ecastTV.co.nz,http://siph0n.net/exploits.php?id=3989,http://siph0n.net/leaks.php?page=10,,
http://ecastTV.co.nz,http://siph0n.net/exploits.php?id=3989,http://siph0n.net/leaks.php?page=10,,
http://ejhb.info - 40k plaintext,http://siph0n.net/exploits.php?id=3546,http://siph0n.net/leaks.php?page=13,,
http://elboletin.com,http://siph0n.net/exploits.php?id=4231,http://siph0n.net/leaks.php?page=7,,
http://elifeask.com,http://siph0n.net/exploits.php?id=4646,http://siph0n.net/leaks.php?page=4,,
http://elth.pub.ro & http://wrec.ro,http://siph0n.net/exploits.php?id=4587,http://siph0n.net/leaks.php?page=4,,
http://emkoelektronik.com.tr,http://siph0n.net/exploits.php?id=4375,http://siph0n.net/leaks.php?page=6,,
http://engineerboards.com,http://siph0n.net/exploits.php?id=4195,http://siph0n.net/leaks.php?page=8,,
http://enterthehealingschool.org + SQLi,http://siph0n.net/exploits.php?id=1070,http://siph0n.net/leaks.php?page=15,,
http://enterthehealingschool.org + SQLi,http://siph0n.net/exploits.php?id=1070,http://siph0n.net/leaks.php?page=15,,
http://eproc.dor.gov.np,http://siph0n.net/exploits.php?id=3665,http://siph0n.net/leaks.php?page=12,,
http://erdb.denr.gov.ph,http://siph0n.net/exploits.php?id=1177,http://siph0n.net/leaks.php?page=14,,
http://escortszurich.com,http://siph0n.net/exploits.php?id=4254,http://siph0n.net/leaks.php?page=7,,
http://eshet.net,http://siph0n.net/exploits.php?id=4504,http://siph0n.net/leaks.php?page=5,,
http://eubb.eusa.ed.ac.uk + SQLi,http://siph0n.net/exploits.php?id=997,http://siph0n.net/leaks.php?page=15,,
http://euroescortsberlin.com,http://siph0n.net/exploits.php?id=4255,http://siph0n.net/leaks.php?page=7,,
"http://eyeofdubai.ae - 1,626 Plaintext",http://siph0n.net/exploits.php?id=1831,http://siph0n.net/leaks.php?page=13,,
"http://eyeofdubai.ae - 1,626 Plaintext",http://siph0n.net/exploits.php?id=1831,http://siph0n.net/leaks.php?page=13,,
http://ezay.com.mm,http://siph0n.net/exploits.php?id=3652,http://siph0n.net/leaks.php?page=12,,
http://fabbu.fr,http://siph0n.net/exploits.php?id=3815,http://siph0n.net/leaks.php?page=11,,
http://fabbu.fr,http://siph0n.net/exploits.php?id=3848,http://siph0n.net/leaks.php?page=10,,
http://factjo.com,http://siph0n.net/exploits.php?id=3792,http://siph0n.net/leaks.php?page=11,,
"http://fdreview.com - 1,655 users",http://siph0n.net/exploits.php?id=3569,http://siph0n.net/leaks.php?page=12,,
http://fiddes.co.uk,http://siph0n.net/exploits.php?id=4598,http://siph0n.net/leaks.php?page=4,,
http://fijilive.com,http://siph0n.net/exploits.php?id=4697,http://siph0n.net/leaks.php?page=3,,
http://finance.ipst.ac.th/,http://siph0n.net/exploits.php?id=1064,http://siph0n.net/leaks.php?page=15,,
http://flux.org,http://siph0n.net/exploits.php?id=3905,http://siph0n.net/leaks.php?page=10,,
http://forum.aiekillu.fr,http://siph0n.net/exploits.php?id=4006,http://siph0n.net/leaks.php?page=9,,
http://forum.chumpcar.com,http://siph0n.net/exploits.php?id=4193,http://siph0n.net/leaks.php?page=8,,
http://forum.teksyndicate.com,http://siph0n.net/exploits.php?id=4429,http://siph0n.net/leaks.php?page=6,,
http://freescience.info,http://siph0n.net/exploits.php?id=4517,http://siph0n.net/leaks.php?page=5,,
http://freshfiction.com,http://siph0n.net/exploits.php?id=3821,http://siph0n.net/leaks.php?page=11,,
http://frontalot.com,http://siph0n.net/exploits.php?id=3729,http://siph0n.net/leaks.php?page=11,,
http://furydown.com,http://siph0n.net/exploits.php?id=3967,http://siph0n.net/leaks.php?page=10,,
http://furydown.com/,http://siph0n.net/exploits.php?id=4146,http://siph0n.net/leaks.php?page=8,,
http://geothermal-library.org,http://siph0n.net/exploits.php?id=4626,http://siph0n.net/leaks.php?page=4,,
http://gobol.in,http://siph0n.net/exploits.php?id=4122,http://siph0n.net/leaks.php?page=8,,
http://gohens.net,http://siph0n.net/exploits.php?id=3995,http://siph0n.net/leaks.php?page=10,,
http://gpl.sgvp.org,http://siph0n.net/exploits.php?id=4581,http://siph0n.net/leaks.php?page=4,,
http://gta5base.com,http://siph0n.net/exploits.php?id=4508,http://siph0n.net/leaks.php?page=5,,
http://healers.co.uk - 7k #plaintext,http://siph0n.net/exploits.php?id=3560,http://siph0n.net/leaks.php?page=12,,
http://hec.gov.pk,http://siph0n.net/exploits.php?id=3670,http://siph0n.net/leaks.php?page=11,,
http://hms.harvard.edu,http://siph0n.net/exploits.php?id=3568,http://siph0n.net/leaks.php?page=12,,
http://hortinews.co.ke,http://siph0n.net/exploits.php?id=4234,http://siph0n.net/leaks.php?page=7,,
http://hostilestresser.com,http://siph0n.net/exploits.php?id=4310,http://siph0n.net/leaks.php?page=7,,
http://housingkp.gov.pk,http://siph0n.net/exploits.php?id=4525,http://siph0n.net/leaks.php?page=5,,
http://howtoairbrush.com.au,http://siph0n.net/exploits.php?id=4424,http://siph0n.net/leaks.php?page=6,,
http://hrionline.ac.uk,http://siph0n.net/exploits.php?id=4831,http://siph0n.net/leaks.php?page=2,,
http://hrvatskitelekom.hr,http://siph0n.net/exploits.php?id=3888,http://siph0n.net/leaks.php?page=10,,
http://hufschmied.net,http://siph0n.net/exploits.php?id=3695,http://siph0n.net/leaks.php?page=11,,
http://ibms.sinica.edu.tw,http://siph0n.net/exploits.php?id=3775,http://siph0n.net/leaks.php?page=11,,
http://ibordeaux.fr,http://siph0n.net/exploits.php?id=1191,http://siph0n.net/leaks.php?page=13,,
http://ichatasia.com,http://siph0n.net/exploits.php?id=3902,http://siph0n.net/leaks.php?page=10,,
