dump_name,breach_date,record_count,source
Mac-forums.com,2016-06,325324,LeakCheck.io
Forum.Warmane.com,2016-11,991215,LeakCheck.io
Alora.io,2017-11,112357,LeakCheck.io
Kvadroom.ru,2019-11,227515,LeakCheck.io
Gaadi.com,2015-04,4249708,LeakCheck.io
Pokémon Negro,2016-09,830824,LeakCheck.io
xHamster.com,2013-06,369682,LeakCheck.io
XRP.io,2020-07,673,LeakCheck.io
1xbet.com,,74762,LeakCheck.io
ElementalGame.com,2012-11,2106280,LeakCheck.io
OnthiOnline.net,2016-11,176527,LeakCheck.io
Sinlyxe.cc,2020-06,430,LeakCheck.io
WiiHacks.com,2013-08,978577,LeakCheck.io
Taobao.com,2012-01,14744650,LeakCheck.io
7k7k.com,2011-01,7369461,LeakCheck.io
Wattpad.com,2020-05,292711638,LeakCheck.io
Stressing.ninja,2020-03,2492,LeakCheck.io
Catho.com,2020-02,2005268,LeakCheck.io
Diet.com,2014-07,26981,LeakCheck.io
AlpineReplay.com,2020-06,987571,LeakCheck.io
RewardStyle.com,2020-06,128892,LeakCheck.io
LiveAuctioneers.com,2020-06,3386365,LeakCheck.io
Jardcs.org,2020-06,6793,LeakCheck.io
Omaze.com,2020-06,1761107,LeakCheck.io
VampireFreaks.com,2018-11,999948,LeakCheck.io
Hurb.com,2020-06,20728614,LeakCheck.io
Dave.com,2020-06,2125069,LeakCheck.io
Scentbird.com,2020-06,4868424,LeakCheck.io
Promo.com,2020-06,14076340,LeakCheck.io
Havenly.com,2020-05,1707149,LeakCheck.io
TrueFire.com,2020-05,595375,LeakCheck.io
Chatbooks.com,2020-05,2161712,LeakCheck.io
Indabamusic.com,2020-06,475172,LeakCheck.io
Ivoy.mx,2020-06,109728,LeakCheck.io
Gamers.nu,2011-11,93784,LeakCheck.io
Appen.com,2020-06,4841457,LeakCheck.io
Proctoru.com,2020-06,443738,LeakCheck.io
